org_branch,type,mode,sum
K96-NORTH BENGAL T/S APEX,Billed Wt,Ground,0.0
X03-AGARTALA APEX,Volume,Air,3.0
X03-AGARTALA APEX,Billed Wt,Air,14.0
X03-AGARTALA APEX,Volume,Ground,164.0
X03-AGARTALA APEX,Billed Wt,Ground,6241.0
X35-HGB ROAD APEX,Volume,Air,2631.0
X35-HGB ROAD APEX,Billed Wt,Air,1235.0
X35-HGB ROAD APEX,Volume,Ground,4297.0
X35-HGB ROAD APEX,Billed Wt,Ground,7194.0
X07-AIZAWLSORTING OFFICE,Volume,Air,0.0
X07-AIZAWLSORTING OFFICE,Billed Wt,Air,0.0
X07-AIZAWLSORTING OFFICE,Volume,Ground,17.0
X07-AIZAWLSORTING OFFICE,Billed Wt,Ground,123.0
X13-BONGAIGAON SORTING OFFICE,Volume,Air,65.0
X13-BONGAIGAON SORTING OFFICE,Billed Wt,Air,24.0
X13-BONGAIGAON SORTING OFFICE,Volume,Ground,162.0
X13-BONGAIGAON SORTING OFFICE,Billed Wt,Ground,628.0
X34-BARPETA BRANCH,Volume,Air,125.0
X34-BARPETA BRANCH,Billed Wt,Air,41.0
X34-BARPETA BRANCH,Volume,Ground,798.0
X34-BARPETA BRANCH,Billed Wt,Ground,1456.0
X30-DHARMANAGAR BRANCH,Volume,Air,298.0
X30-DHARMANAGAR BRANCH,Billed Wt,Air,180.0
X30-DHARMANAGAR BRANCH,Volume,Ground,894.0
X30-DHARMANAGAR BRANCH,Billed Wt,Ground,2250.0
X23-DHUBRI BRANCH,Volume,Air,35.0
X23-DHUBRI BRANCH,Billed Wt,Air,12.0
X23-DHUBRI BRANCH,Volume,Ground,55.0
X23-DHUBRI BRANCH,Billed Wt,Ground,160.0
X21-DIBRUGARH APEX,Volume,Air,55.0
X21-DIBRUGARH APEX,Billed Wt,Air,11.0
X21-DIBRUGARH APEX,Volume,Ground,295.0
X21-DIBRUGARH APEX,Billed Wt,Ground,4841.0
X14-DULIAJAN SORTING OFFICE,Volume,Air,0.0
X14-DULIAJAN SORTING OFFICE,Billed Wt,Air,0.0
X14-DULIAJAN SORTING OFFICE,Volume,Ground,7.0
X14-DULIAJAN SORTING OFFICE,Billed Wt,Ground,180.0
X18-GOALPARA BRANCH,Volume,Air,37.0
X18-GOALPARA BRANCH,Billed Wt,Air,14.0
X18-GOALPARA BRANCH,Volume,Ground,66.0
X18-GOALPARA BRANCH,Billed Wt,Ground,114.0
X27-GOLAGHAT BRANCH,Volume,Air,3.0
X27-GOLAGHAT BRANCH,Billed Wt,Air,5.0
X27-GOLAGHAT BRANCH,Volume,Ground,82.0
X27-GOLAGHAT BRANCH,Billed Wt,Ground,978.0
X01-DHARAPUR APEX,Volume,Air,4171.0
X01-DHARAPUR APEX,Billed Wt,Air,3899.0
X01-DHARAPUR APEX,Volume,Ground,51098.0
X01-DHARAPUR APEX,Billed Wt,Ground,457389.0
X10-LANUNG GAON BRANCH,Volume,Air,0.0
X10-LANUNG GAON BRANCH,Billed Wt,Air,0.0
X10-LANUNG GAON BRANCH,Volume,Ground,12.0
X10-LANUNG GAON BRANCH,Billed Wt,Ground,143.0
X22-DISPUR BRANCH,Volume,Air,9544.0
X22-DISPUR BRANCH,Billed Wt,Air,6078.0
X22-DISPUR BRANCH,Volume,Ground,77936.0
X22-DISPUR BRANCH,Billed Wt,Ground,144917.0
