Region,Service_Type,Type,Optimal_Num_Branches,Optimal_Cumulative_Percentage,Branches
MUM,Ground,Billed Wt,131,65.45868063400515,"P04, P19, P24, R11, A03, U03, K05, K28, L04, Q06, I46, P27, R32, P09, B32, P15, T10, P12, K06, S04, V58, W52, B09, B35, A36, W02, H70, I08, A05, P22, K07, B06, X22, P11, B07, N17, J03, N11, J26, K75, P50, U09, B59, A24, Q02, E21, H09, B61, B58, H10, U07, A11, K81, N02, H79, I02, J01, P20, U06, K74, C47, K72, N03, S01, N38, B08, O04, N37, N32, O05, C13, H71, H80, V08, S02, U139, P06, H08, V16, H11, A07, N35, C36, R07, P17, O02, E06, V09, T03, C14, I42, U10, Q04, C53, J02, P38, Q16, X02, T04, K23, C37, B26, R12, P08, B11, U02, P10, U48, O07, K32, N31, K45, K08, C48, K40, B01, N33, B02, J13, U01, J12, N09, S27, I43, A18, A50, R02, V05, J05, R04, O12"
MUM,Ground,Volume,47,34.17441760013824,"P19, P04, A03, R32, P12, A24, P15, P27, S04, P09, N11, A36, B07, B06, P24, L04, B35, A11, K05, B32, B09, N02, I46, J03, R11, A46, U03, X22, P22, P50, I42, V58, H70, E21, A05, W52, B59, K06, N17, P11, K07, P20, W02, I08, Q06, K28, Q02"
NGP,Air Red,Billed Wt,1,5.070644767983929,L04
NGP,Air Red,Volume,1,7.1655590869690755,L04
NGP,Air White,Billed Wt,2,5.80185553346588,"C53, A49"
NGP,Air White,Volume,1,2.774700130064065,P04
NGP,Ground,Billed Wt,10,21.98141284303164,"M35, L23, P04, A49, B06, P19, C53, K06, K28, L04"
PAT,Air Red,Billed Wt,1,12.414398595258993,L04
PAT,Air Red,Volume,1,10.50912367650372,L04
PAT,Air White,Billed Wt,4,13.644548635884895,"M47, U15, B35, B06"
PAT,Air White,Volume,2,4.639341989741689,"B06, B35"
PAT,Ground,Billed Wt,20,38.37127326023636,"K72, L23, N35, H42, S04, P04, N32, L04, N15, U139, K28, B06, B35, W52, K05, K07, K81, M46, B61, N09"
PAT,Ground,Volume,1,7.647194112235504,S04
PNQ,Air Red,Billed Wt,21,25.450101919936806,"L04, B35, B06, N10, M01, M47, M08, B07, N32, H70, M05, B58, M07, B59, N17, B61, M04, J13, W12, L02, M46"
PNQ,Air Red,Volume,15,21.357128112743723,"B35, B06, M01, M07, H70, B59, L04, M47, L02, N17, N11, N02, M08, M04, M05"
PNQ,Air White,Billed Wt,55,45.81519434777312,"M47, M07, M01, M39, M08, M05, B35, L04, B06, M61, H70, C53, M59, B11, B59, M46, B61, A03, M45, M54, L23, B07, M66, A36, R11, M48, M06, C74, N32, B58, B09, B26, K05, N17, J03, H80, K28, R32, M78, M02, T32, C47, S04, Q06, T03, K07, B08, A11, A24, A46, N11, B32, C13, M04, N09"
PNQ,Air White,Volume,27,36.1804141208418,"M47, M07, M01, M08, M39, M05, M61, M46, M45, M59, M66, R32, B35, M06, A46, B06, R11, M87, H70, M78, M54, A36, M02, M48, B59, A03, A11"
PNQ,Ground,Billed Wt,97,58.30051337599491,"I08, R07, I44, K72, R32, I19, Q06, M35, K81, B07, L04, M08, C53, M46, K14, B06, M07, M47, V10, M39, B35, B42, A03, M01, A50, A18, R11, C15, B16, N32, M59, S02, M66, W52, B61, S04, J03, U03, M61, H70, M05, B58, C47, V04, B59, M04, C22, K22, A11, O02, U09, A49, E21, K06, W02, B08, W23, E09, K28, N03, N11, B09, B02, L23, I46, A05, V08, B01, X22, O12, H42, K05, K07, M06, V58, M57, H80, U06, H92, M54, T03, M48, T13, K37, B68, Q03, B26, S27, H09, R12, H53, U07, R02, B27, A48, C37, K23"
PNQ,Ground,Volume,13,13.526043935528023,"M47, M07, R32, B35, M01, S04, B06, M08, A03, R11, M46, M39, M05"
UPT,Air Red,Billed Wt,5,21.109097348082408,"L04, S01, P24, L02, S04"
UPT,Air Red,Volume,5,14.837363516835312,"L04, P24, L02, S01, M01"
UPT,Air White,Billed Wt,75,49.57435951686077,"B35, S04, B06, N17, N32, N11, L04, N38, H70, P04, N02, N03, M01, J03, N35, M07, Q06, M05, B59, N09, K05, S02, L02, J01, C36, S01, L27, N31, B11, K28, N37, W52, M47, B07, B61, A36, S09, B26, S03, J02, M59, P19, P12, H71, M78, N42, P15, M61, P24, A03, N15, C47, M08, J13, P27, H80, L23, B09, N10, O12, L03, M54, X22, A46, M45, A24, C13, N33, B58, K75, Q02, S27, S17, A11, M48"
