org_branch_code,service_type,type,sum
E20,Air White,Volume,31.48
E20,Air White,Billed Wt,63.96
E20,Ground,Volume,20.44
E20,Ground,Billed Wt,437.92
E21,Air Red,Volume,524.04
E21,Air Red,Billed Wt,537.24
E21,Air White,Volume,2064.84
E21,Air White,Billed Wt,2578.68
E21,Ground,Volume,351.2
E21,Ground,Billed Wt,4361.56
E23,Air Red,Volume,2.36
E23,Air Red,Billed Wt,4.2
E23,Air White,Volume,151.36
E23,Air White,Billed Wt,185.56
E23,Ground,Volume,32.8
E23,Ground,Billed Wt,385.96
E24,Air Red,Volume,1.2
E24,Air Red,Billed Wt,1.2
E24,Air White,Volume,43.48
E24,Air White,Billed Wt,45.12
E24,Ground,Volume,4.84
E24,Ground,Billed Wt,46.2
H07,Air Red,Volume,169.52
H07,Air Red,Billed Wt,242.52
H07,Air White,Volume,1269.64
H07,Air White,Billed Wt,1192.24
H07,Ground,Volume,90.12
H07,Ground,Billed Wt,885.72
H08,Air Red,Volume,266.56
H08,Air Red,Billed Wt,434.36
H08,Air White,Volume,850.08
H08,Air White,Billed Wt,1172.24
H08,Ground,Volume,473.2
H08,Ground,Billed Wt,6940.56
H09,Air Red,Volume,148.84
H09,Air Red,Billed Wt,148.52
H09,Air White,Volume,1303.52
H09,Air White,Billed Wt,1292.88
H09,Ground,Volume,233.96
H09,Ground,Billed Wt,2586.8
H10,Air Red,Volume,86.56
H10,Air Red,Billed Wt,283.6
H10,Air White,Volume,1180.92
H10,Air White,Billed Wt,1386.44
H10,Ground,Volume,539.84
H10,Ground,Billed Wt,5238.32
H11,Air Red,Volume,252.88
H11,Air Red,Billed Wt,115.8
H11,Air White,Volume,826.6
H11,Air White,Billed Wt,797.52
H11,Ground,Volume,51.16
H11,Ground,Billed Wt,397.56
H17,Air Red,Volume,21.16
H17,Air Red,Billed Wt,33.04
H17,Air White,Volume,464.84
H17,Air White,Billed Wt,472.76
H17,Ground,Volume,57.2
H17,Ground,Billed Wt,505.64
H37,Air Red,Volume,182.48
H37,Air Red,Billed Wt,61.76
H37,Air White,Volume,159.04
H37,Air White,Billed Wt,153.6
H37,Ground,Volume,41.56
H37,Ground,Billed Wt,278.44
H42,Air Red,Volume,9.16
H42,Air Red,Billed Wt,20.28
H42,Air White,Volume,154.08
H42,Air White,Billed Wt,190.76
H42,Ground,Volume,34.88
H42,Ground,Billed Wt,278.44
H48,Air Red,Volume,146.16
H48,Air Red,Billed Wt,298.32
H48,Air White,Volume,546.84
H48,Air White,Billed Wt,830.0
H48,Ground,Volume,234.56
H48,Ground,Billed Wt,3037.52
H53,Air Red,Volume,7.88
H53,Air Red,Billed Wt,13.64
H53,Air White,Volume,112.52
H53,Air White,Billed Wt,121.84
H53,Ground,Volume,26.64
H53,Ground,Billed Wt,140.68
H70,Air Red,Volume,251.04
H70,Air Red,Billed Wt,455.52
H70,Air White,Volume,1083.64
H70,Air White,Billed Wt,1291.72
H70,Ground,Volume,204.52
H70,Ground,Billed Wt,2155.0
H71,Air Red,Volume,96.0
H71,Air Red,Billed Wt,132.32
H71,Air White,Volume,414.48
H71,Air White,Billed Wt,672.0
H71,Ground,Volume,122.36
H71,Ground,Billed Wt,1125.24
H74,Air Red,Volume,137.44
H74,Air Red,Billed Wt,153.8
H74,Air White,Volume,1006.08
H74,Air White,Billed Wt,1070.12
H74,Ground,Volume,269.52
H74,Ground,Billed Wt,2715.76
H75,Air White,Volume,0.08
H75,Air White,Billed Wt,0.12
H79,Air Red,Volume,129.08
H79,Air Red,Billed Wt,333.48
H79,Air White,Volume,1772.72
H79,Air White,Billed Wt,1615.08
H79,Ground,Volume,378.64
