Type,Origin_Region,Destination_Region,Total_Flow_Units,Optimal_Flow_Units,Non_Optimal_Flow_Units,Optimal_Flow_Percentage,Non_Optimal_Flow_Percentage
Volume,BBI,BLR,160.60000000000002,0.0,160.60000000000002,0.0,100.0
Volume,BBI,CCU,217.72000000000003,0.0,217.72000000000003,0.0,100.0
Volume,BBI,CHE,59.79999999999998,0.0,59.79999999999998,0.0,100.0
Volume,BBI,CJB,14.079999999999995,0.0,14.079999999999995,0.0,100.0
Volume,BBI,COK,18.079999999999995,0.0,18.079999999999995,0.0,100.0
Volume,BBI,DDL,91.76000000000002,0.0,91.76000000000002,0.0,100.0
Volume,BBI,GAU,22.599999999999984,0.0,22.599999999999984,0.0,100.0
Volume,BBI,HHPT,43.19999999999999,0.0,43.19999999999999,0.0,100.0
Volume,BBI,HYD,79.71999999999997,0.0,79.71999999999997,0.0,100.0
Volume,BBI,IDR,20.679999999999993,0.0,20.679999999999993,0.0,100.0
Volume,BBI,JAI,30.919999999999998,0.0,30.919999999999998,0.0,100.0
Volume,BBI,MUM,121.20000000000005,0.0,121.20000000000005,0.0,100.0
Volume,BBI,NGP,26.279999999999998,0.0,26.279999999999998,0.0,100.0
Volume,BBI,PAT,44.35999999999999,0.0,44.35999999999999,0.0,100.0
Volume,BBI,PNQ,69.12,0.0,69.12,0.0,100.0
Volume,BBI,UPT,50.159999999999975,0.0,50.159999999999975,0.0,100.0
Volume,BBI,VJA,30.799999999999986,0.0,30.799999999999986,0.0,100.0
Volume,BLR,AMD,614.64,131.0,483.6400000000001,21.31,78.69
Volume,BLR,BBI,280.0800000000002,0.0,280.0800000000002,0.0,100.0
Volume,BLR,BLR,0.0,0.0,0.0,0.0,0.0
Volume,BLR,CCU,643.8400000000004,0.0,643.8400000000004,0.0,100.0
Volume,BLR,CHE,1420.2400000000002,571.28,848.9599999999999,40.22,59.78
Volume,BLR,CJB,702.76,293.88000000000005,408.88000000000005,41.82,58.18
Volume,BLR,COK,1101.7600000000002,401.48,700.2800000000001,36.44,63.56
Volume,BLR,DDL,649.3599999999999,52.84,596.52,8.14,91.86
Volume,BLR,GAU,191.44000000000014,0.0,191.44000000000014,0.0,100.0
Volume,BLR,HHPT,512.0400000000001,34.559999999999995,477.48,6.75,93.25
Volume,BLR,HYD,1736.2799999999997,987.7999999999998,748.48,56.89,43.11
Volume,BLR,IDR,248.60000000000002,0.0,248.60000000000002,0.0,100.0
Volume,BLR,JAI,381.24000000000007,0.0,381.24000000000007,0.0,100.0
Volume,BLR,MUM,1603.7999999999995,586.5200000000001,1017.2800000000001,36.57,63.43
Volume,BLR,NGP,217.51999999999998,0.0,217.51999999999998,0.0,100.0
Volume,BLR,PAT,234.76,0.0,234.76,0.0,100.0
Volume,BLR,PNQ,1080.3600000000001,385.67999999999995,694.6799999999995,35.7,64.3
Volume,BLR,UPT,650.68,0.0,650.68,0.0,100.0
Volume,BLR,VJA,1123.5600000000002,538.52,585.04,47.93,52.07
Volume,CCU,AMD,460.3600000000001,51.04,409.3200000000001,11.09,88.91
Volume,CCU,BBI,750.5600000000001,215.67999999999998,534.8800000000002,28.74,71.26
Volume,CCU,BLR,1019.9599999999997,353.32000000000005,666.6399999999996,34.64,65.36
Volume,CCU,CCU,0.0,0.0,0.0,0.0,0.0
Volume,CCU,CHE,402.9599999999999,0.0,402.9599999999999,0.0,100.0
Volume,CCU,CJB,153.03999999999994,0.0,153.03999999999994,0.0,100.0
Volume,CCU,COK,267.52,0.0,267.52,0.0,100.0
Volume,CCU,DDL,603.2399999999999,0.0,603.2399999999999,0.0,100.0
Volume,CCU,GAU,652.12,235.83999999999997,416.2799999999999,36.17,63.83
Volume,CCU,HHPT,376.6400000000001,0.0,376.6400000000001,0.0,100.0
Volume,CCU,HYD,520.6,91.96000000000001,428.63999999999993,17.66,82.34
Volume,CCU,IDR,225.88000000000008,0.0,225.88000000000008,0.0,100.0
Volume,CCU,JAI,329.68000000000006,0.0,329.68000000000006,0.0,100.0
Volume,CCU,MUM,1055.4,251.79999999999998,803.5999999999999,23.86,76.14
Volume,CCU,NGP,226.60000000000002,0.0,226.60000000000002,0.0,100.0
Volume,CCU,PAT,732.7199999999993,197.51999999999998,535.1999999999997,26.96,73.04
Volume,CCU,PNQ,582.0799999999998,48.44,533.64,8.32,91.68
Volume,CCU,UPT,592.7600000000001,0.0,592.7600000000001,0.0,100.0
Volume,CCU,VJA,240.88000000000005,0.0,240.88000000000005,0.0,100.0
Volume,CHE,AMD,208.84,0.0,208.84,0.0,100.0
Volume,CHE,BBI,106.60000000000002,0.0,106.60000000000002,0.0,100.0
Volume,CHE,BLR,1889.6800000000012,995.9599999999999,893.7199999999998,52.71,47.29
Volume,CHE,CCU,245.71999999999997,0.0,245.71999999999997,0.0,100.0
Volume,CHE,CHE,0.0,0.0,0.0,0.0,0.0
Volume,CHE,CJB,892.2800000000001,414.80000000000007,477.47999999999996,46.49,53.51
Volume,CHE,COK,724.32,56.4,667.9200000000001,7.79,92.21
Volume,CHE,DDL,216.36000000000004,0.0,216.36000000000004,0.0,100.0
Volume,CHE,GAU,75.55999999999996,0.0,75.55999999999996,0.0,100.0
Volume,CHE,HHPT,158.51999999999998,0.0,158.51999999999998,0.0,100.0
Volume,CHE,HYD,1117.9199999999998,322.88,795.0399999999998,28.88,71.12
Volume,CHE,IDR,95.35999999999999,0.0,95.35999999999999,0.0,100.0
Volume,CHE,JAI,128.32000000000002,0.0,128.32000000000002,0.0,100.0
Volume,CHE,MUM,524.8000000000002,0.0,524.8000000000002,0.0,100.0
Volume,CHE,NGP,70.72,0.0,70.72,0.0,100.0
Volume,CHE,PAT,78.08000000000001,0.0,78.08000000000001,0.0,100.0
Volume,CHE,PNQ,390.99999999999994,0.0,390.99999999999994,0.0,100.0
Volume,CHE,UPT,192.84,0.0,192.84,0.0,100.0
Volume,CHE,VJA,913.9999999999999,290.08000000000004,623.92,31.74,68.26
Volume,CJB,AMD,164.72000000000003,0.0,164.72000000000003,0.0,100.0
Volume,CJB,BBI,48.59999999999998,0.0,48.59999999999998,0.0,100.0
Volume,CJB,BLR,1679.2799999999997,802.6,876.6799999999998,47.79,52.21
Volume,CJB,CCU,146.64,0.0,146.64,0.0,100.0
Volume,CJB,CHE,1313.1599999999999,790.44,522.7200000000001,60.19,39.81
Volume,CJB,CJB,0.0,0.0,0.0,0.0,0.0
Volume,CJB,COK,701.0400000000002,117.92,583.12,16.82,83.18
Volume,CJB,DDL,159.8,0.0,159.8,0.0,100.0
Volume,CJB,GAU,31.519999999999982,0.0,31.519999999999982,0.0,100.0
Volume,CJB,HHPT,116.87999999999998,0.0,116.87999999999998,0.0,100.0
Volume,CJB,HYD,658.5600000000002,81.4,577.1600000000002,12.36,87.64
Volume,CJB,IDR,51.28000000000001,0.0,51.28000000000001,0.0,100.0
Volume,CJB,JAI,87.36000000000003,0.0,87.36000000000003,0.0,100.0
Volume,CJB,MUM,438.11999999999995,0.0,438.11999999999995,0.0,100.0
Volume,CJB,NGP,48.040000000000006,0.0,48.040000000000006,0.0,100.0
Volume,CJB,PAT,35.679999999999986,0.0,35.679999999999986,0.0,100.0
Volume,CJB,PNQ,241.1600000000001,0.0,241.1600000000001,0.0,100.0
Volume,CJB,UPT,114.55999999999997,0.0,114.55999999999997,0.0,100.0
Volume,CJB,VJA,429.11999999999995,0.0,429.11999999999995,0.0,100.0
Volume,COK,AMD,161.6,0.0,161.6,0.0,100.0
Volume,COK,BBI,41.75999999999999,0.0,41.75999999999999,0.0,100.0
Volume,COK,BLR,1801.7600000000004,883.52,918.2399999999999,49.04,50.96
Volume,COK,CCU,118.32000000000004,0.0,118.32000000000004,0.0,100.0
Volume,COK,CHE,825.5600000000003,124.64,700.9200000000002,15.1,84.9
Volume,COK,CJB,717.4000000000001,295.44,421.96,41.18,58.82
Volume,COK,COK,0.0,0.0,0.0,0.0,0.0
Volume,COK,DDL,180.00000000000003,0.0,180.00000000000003,0.0,100.0
Volume,COK,GAU,50.11999999999997,0.0,50.11999999999997,0.0,100.0
Volume,COK,HHPT,84.12000000000002,0.0,84.12000000000002,0.0,100.0
Volume,COK,HYD,384.2000000000001,0.0,384.2000000000001,0.0,100.0
Volume,COK,IDR,48.599999999999994,0.0,48.599999999999994,0.0,100.0
Volume,COK,JAI,67.40000000000002,0.0,67.40000000000002,0.0,100.0
Volume,COK,MUM,441.52000000000015,0.0,441.52000000000015,0.0,100.0
Volume,COK,NGP,39.84000000000001,0.0,39.84000000000001,0.0,100.0
Volume,COK,PAT,29.839999999999982,0.0,29.839999999999982,0.0,100.0
Volume,COK,PNQ,202.95999999999992,0.0,202.95999999999992,0.0,100.0
Volume,COK,UPT,107.75999999999996,0.0,107.75999999999996,0.0,100.0
Volume,COK,VJA,222.95999999999998,0.0,222.95999999999998,0.0,100.0
Volume,DDL,AMD,2634.8800000000006,1635.24,999.64,62.06,37.94
Volume,DDL,BBI,1144.6799999999998,169.88,974.8000000000002,14.84,85.16
Volume,DDL,BLR,4922.68,3037.6400000000003,1885.0399999999997,61.71,38.29
Volume,DDL,CCU,2923.56,624.0,2299.5599999999995,21.34,78.66
Volume,DDL,CHE,1858.2,261.0,1597.1999999999998,14.05,85.95
Volume,DDL,CJB,815.8800000000001,105.68,710.1999999999999,12.95,87.05
Volume,DDL,COK,1684.5199999999995,102.44,1582.0799999999997,6.08,93.92
Volume,DDL,DDL,0.0,0.0,0.0,0.0,0.0
Volume,DDL,GAU,1232.8799999999994,343.6,889.2799999999997,27.87,72.13
Volume,DDL,HHPT,6337.039999999997,4631.880000000001,1705.1599999999996,73.09,26.91
Volume,DDL,HYD,2802.8799999999997,1200.48,1602.4,42.83,57.17
Volume,DDL,IDR,1399.96,419.36,980.6000000000001,29.96,70.04
Volume,DDL,JAI,3312.000000000001,1892.76,1419.2399999999998,57.15,42.85
Volume,DDL,MUM,5221.560000000003,4086.040000000001,1135.52,78.25,21.75
Volume,DDL,NGP,948.2800000000001,200.07999999999998,748.2000000000002,21.1,78.9
Volume,DDL,PAT,1482.88,399.08000000000004,1083.7999999999997,26.91,73.09
Volume,DDL,PNQ,3220.0399999999986,1849.96,1370.0800000000004,57.45,42.55
Volume,DDL,UPT,6967.799999999997,4349.04,2618.7599999999993,62.42,37.58
Volume,DDL,VJA,1273.4399999999996,244.04,1029.4,19.16,80.84
Volume,GAU,AMD,20.24,0.0,20.24,0.0,100.0
Volume,GAU,BBI,9.879999999999999,0.0,9.879999999999999,0.0,100.0
Volume,GAU,BLR,70.00000000000003,0.0,70.00000000000003,0.0,100.0
Volume,GAU,CCU,119.16000000000003,0.0,119.16000000000003,0.0,100.0
Volume,GAU,CHE,21.559999999999995,0.0,21.559999999999995,0.0,100.0
Volume,GAU,CJB,4.120000000000001,0.0,4.120000000000001,0.0,100.0
Volume,GAU,COK,7.480000000000002,0.0,7.480000000000002,0.0,100.0
Volume,GAU,DDL,59.0,0.0,59.0,0.0,100.0
Volume,GAU,GAU,0.0,0.0,0.0,0.0,0.0
