zone,region,city,office,name,lat,lon
WEST,MUMBAI,MUMBAI,M05,GOREGAON BRANCH,19.16970592,72.85830827
WEST,MUMBAI,MUMBAI,M06,GHATKOPAR BRANCH,19.09377334,72.91312844
WEST,MUMBAI,MUMBAI,M07,THANE BRANCH,19.2098062,72.9751924
WEST,MUMBAI,MUMBAI,M08,VASHI BRANCH,19.04935373,73.02014275
WEST,MUMBAI,BHIWANDI,M35,BHIWANDI BRANCH,19.30625904,73.10881733
WEST,MUMBAI,PANVEL,M39,PANVEL BRANCH,19.01305584,73.10124406
WEST,MUMBAI,MUMBAI,M45,CHEMBUR BRANCH,19.060427,72.911542
WEST,MUMBAI,VASAI,M46,VASAI BRANCH,19.406051,72.857754
WEST,MUMBAI,KALYAN,M47,KALYAN BRANCH,19.23441579,73.12644819
WEST,MUMBAI,MUMBAI,M48,ANDHERI BRANCH,19.12613567,72.85287179
WEST,MUMBAI,MUMBAI,M50,BHANDUP SCS BRANCH,19.153508,72.936865
WEST,MUMBAI,MUMBAI,M54,MAROL BRANCH,19.102839,72.882515
WEST,MUMBAI,BOISAR,M57,BOISAR BRANCH,19.78305791,72.75781124
WEST,MUMBAI,MUMBAI,M59,BHANDUP BRANCH,19.153508,72.936865
WEST,MUMBAI,MUMBAI,M61,DAHISAR BRANCH,19.2581612,72.873338
WEST,MUMBAI,PANVEL,M63,WADKAL BRANCH,18.740342,73.090816
WEST,MUMBAI,MUMBAI,M66,MAHAPE BRANCH,19.14239,73.006725
WEST,MUMBAI,MUMBAI,M74,MUMBAI DRS/POD SCAN CENTRE BRANCH,19.16970592,72.85830827
WEST,MUMBAI,MUMBAI,M78,ANDHERI WEST BRANCH,19.12598514,72.84668201
WEST,MUMBAI,MUMBAI,M80,ANDHERI WEST IGSP BRANCH,19.13875,72.80646
WEST,MUMBAI,MUMBAI,M82,MIRA ROAD IGSP BRANCH,19.271678,72.891044
WEST,MUMBAI,BHIWANDI,M85,BHIWANDI RKG BRANCH,19.2638756,73.0703067
NORTH,NORTH DELHI RO,DELHI,N02,TRANSYAMUNA BRANCH,28.634016,77.31575
NORTH,NORTH DELHI RO,DELHI,N03,NARAINA CITY BRANCH,28.62285529,77.1359227
NORTH,NORTH DELHI RO,DELHI,N09,WAZIRPUR BRANCH,28.701941,77.168195
NORTH,NORTH DELHI RO,DELHI,N10,JHANDEWALAN BRANCH,28.64448858,77.20132042
NORTH,NORTH DELHI RO,DELHI,N11,MEERBAGH BRANCH,28.660556,77.084997
NORTH,NORTH DELHI RO,DELHI,N12,NARAINA MASS MAIL PROCESSING OUTSOURCED BRANCH,28.53231663,77.09848338
NORTH,NORTH DELHI RO,DELHI,N15,DURGAPURI BRANCH,28.6753424,77.3121565
NORTH,NORTH DELHI RO,DELHI,N17,ROHINI BRANCH,28.7454745,77.1360366
NORTH,NORTH DELHI RO,NOIDA,N31,GREATER NOIDA BRANCH,28.5532935,77.41282394
NORTH,NORTH DELHI RO,NOIDA,N32,NOIDA PH3 BRANCH,28.6018628,77.3596867
NORTH,NORTH DELHI RO,DELHI,N33,DARYGANJ BRANCH,28.642927,77.243136
NORTH,NORTH DELHI RO,NOIDA,N35,PARI CHOWK BRANCH,28.454913,77.528753
NORTH,NORTH DELHI RO,JAMMU,N37,JAMMU BRANCH,32.70282801,74.86723753
NORTH,NORTH DELHI RO,SRINAGAR -JK,N38,SRI NAGAR BRANCH,34.0838592,74.8229279
NORTH,NORTH DELHI RO,NOIDA,N42,ECOTECH 12 NOIDA BRANCH,28.596883,77.465735
SOUTH,COCHIN,ALLEPPEY,O01,ALLEPPEY BRANCH,9.5133376,76.327577
SOUTH,COCHIN,CALICUT,O02,CALICUT BRANCH,11.2822,75.807099
SOUTH,COCHIN,PALGHAT,O03,PALGHAT BRANCH,10.73965,76.64214
SOUTH,COCHIN,TRICHUR,O04,TRICHUR BRANCH,10.490398,76.252813
SOUTH,COCHIN,TRIVANDRUM,O05,TRIVANDRUM BRANCH,8.4820566,76.9589082
SOUTH,COCHIN,KOTTAYAM,O07,KOTTAYAM BRANCH,9.577538,76.517234
