des_branch_code,service_type,type,sum
K81,Air White,Volume,1371.72
K81,Ground,Volume,284.8
K82,Air Red,Volume,9.6
K82,Air White,Volume,41.4
K82,Ground,Volume,11.56
K84,Air Red,Volume,11.24
K84,Air White,Volume,28.8
K84,Ground,Volume,9.4
K85,Air Red,Volume,58.32
K85,Air White,Volume,307.92
K85,Ground,Volume,100.04
K88,Air Red,Volume,223.84
K88,Air White,Volume,915.32
K88,Ground,Volume,46.08
K89,Air Red,Volume,31.36
K89,Air White,Volume,211.76
K89,Ground,Volume,36.12
L02,Air Red,Volume,679.48
L02,Air White,Volume,2541.0
L02,Ground,Volume,165.44
L03,Air Red,Volume,199.8
L03,Air White,Volume,1242.44
L03,Ground,Volume,140.08
L04,Air Red,Volume,979.44
L04,Air White,Volume,2341.6
L04,Ground,Volume,478.56
L05,Air Red,Volume,43.0
L05,Air White,Volume,453.68
L05,Ground,Volume,108.08
L23,Air Red,Volume,147.24
L23,Air White,Volume,855.0
L23,Ground,Volume,209.76
L27,Air Red,Volume,304.4
L27,Air White,Volume,1318.16
L27,Ground,Volume,155.84
L28,Air Red,Volume,7.8
L28,Air White,Volume,57.88
L28,Ground,Volume,24.16
M01,Air Red,Volume,908.0
M01,Air White,Volume,3089.6
M01,Ground,Volume,336.36
M02,Air Red,Volume,497.64
M02,Air White,Volume,1748.32
M02,Ground,Volume,148.52
M04,Air Red,Volume,384.44
M04,Air White,Volume,1588.56
M04,Ground,Volume,146.84
M05,Air Red,Volume,539.44
M05,Air White,Volume,1948.2
M05,Ground,Volume,297.84
M06,Air Red,Volume,354.0
M06,Air White,Volume,1669.88
M06,Ground,Volume,159.24
M07,Air Red,Volume,555.6
M07,Air White,Volume,2667.12
M07,Ground,Volume,316.96
M08,Air Red,Volume,487.68
M08,Air White,Volume,2223.56
M08,Ground,Volume,276.72
M35,Air Red,Volume,10.56
M35,Air White,Volume,39.04
M35,Ground,Volume,114.32
M39,Air Red,Volume,215.72
M39,Air White,Volume,1297.72
M39,Ground,Volume,188.88
M45,Air Red,Volume,334.12
M45,Air White,Volume,1332.56
M45,Ground,Volume,163.72
M46,Air Red,Volume,213.8
M46,Air White,Volume,1038.28
M46,Ground,Volume,226.64
M47,Air Red,Volume,356.8
M47,Air White,Volume,1866.6
M47,Ground,Volume,350.92
M48,Air Red,Volume,300.44
M48,Air White,Volume,920.6
M48,Ground,Volume,146.4
M54,Air Red,Volume,443.44
M54,Air White,Volume,1608.52
M54,Ground,Volume,141.24
M57,Air Red,Volume,55.56
M57,Air White,Volume,294.88
M57,Ground,Volume,62.72
