Region,Service_Type,Type,Num_Branches,Cumulative_Percentage,Branches
CJB,Air White,Volume,75,71.51905471577608,"A11, A46, B01, B02, B06, B07, B08, B09, B11, B18, B26, B27, B35, B58, B59, B61, B68, C02, C08, C13, C14, C15, C22, C30, C36, C37, C38, C47, C48, C50, C53, C57, C59, C74, H07, H08, H09, H11, H48, H70, H71, H74, H75, H79, H80, J03, M01, M05, M06, M07, M08, M45, M47, O01, O02, O03, O04, O05, O07, O08, O09, O11, O12, O13, O23, O90, P04, V01, V04, V05, V08, V09, V10, V13, V58"
CJB,Ground,Billed Wt,128,87.75989144744602,"A03, A11, B01, B02, B05, B06, B07, B08, B09, B11, B14, B16, B18, B19, B26, B27, B32, B35, B38, B41, B42, B47, B50, B53, B58, B59, B61, B62, B63, B68, C02, C08, C13, C14, C15, C22, C30, C36, C37, C38, C47, C48, C50, C53, C57, C59, C73, C74, H08, H09, H10, H11, H17, H37, H42, H48, H53, H70, H71, H74, H79, H80, H91, H92, H96, H98, J03, J05, K05, K06, K07, K28, K72, L04, L23, M01, M02, M04, M06, M07, M08, M35, M46, M47, M48, M54, M66, N32, N33, O01, O02, O03, O04, O05, O07, O08, O09, O11, O12, O13, O21, O25, O90, P04, P12, P19, P27, P50, R11, S04, T10, U03, V01, V04, V05, V07, V08, V09, V10, V13, V15, V16, V21, V24, V57, V58, W52, X10"
CJB,Ground,Volume,9,19.227044228197222,"B06, B07, B35, B59, C13, C14, C22, C37, C47"
COK,Air Red,Billed Wt,15,34.76384612048402,"B01, B06, B09, B11, B26, B35, B59, B61, C47, E02, E11, E21, H70, L04, S04"
COK,Air Red,Volume,16,33.53962264150945,"B01, B06, B07, B09, B11, B26, B35, B58, B59, B61, C13, C47, E11, E21, H70, L04"
COK,Air White,Billed Wt,51,59.322366943633504,"A46, B01, B02, B06, B07, B08, B09, B11, B18, B26, B35, B53, B58, B59, B61, C02, C08, C13, C14, C15, C22, C30, C36, C37, C38, C47, C48, C50, C74, E02, E03, E06, E09, E11, E21, E23, H08, H09, H70, H71, H80, L04, M01, M07, M08, M47, N03, N10, P04, V08, V58"
COK,Air White,Volume,57,67.1755641408376,"A46, B01, B02, B06, B07, B08, B09, B11, B18, B26, B27, B35, B38, B53, B58, B59, B61, C02, C08, C13, C14, C15, C22, C30, C36, C37, C38, C47, C48, C50, C53, C74, E02, E03, E06, E07, E09, E10, E11, E16, E21, E23, H08, H09, H11, H70, H71, H79, H80, M01, M06, M07, M08, M47, P04, V08, V58"
COK,Ground,Billed Wt,100,77.56605161191187,"A03, A11, A50, B01, B02, B06, B07, B08, B09, B11, B14, B16, B18, B26, B27, B32, B35, B38, B39, B43, B50, B53, B58, B59, B61, B68, C02, C08, C13, C14, C15, C22, C30, C36, C37, C38, C47, C48, C50, C53, C57, C74, E02, E03, E06, E07, E09, E11, E16, E21, E23, H08, H09, H10, H11, H48, H70, H71, H74, H79, H80, H96, K06, K28, L04, L23, M01, M02, M04, M05, M07, M08, M35, M46, M47, M48, M54, M78, N02, N03, N11, N32, N35, N38, P04, P09, P12, P19, P24, P25, P50, Q06, S01, S04, V05, V08, V16, V24, V58, W52"
COK,Ground,Volume,7,16.91195063976126,"B01, B06, B07, B08, B35, B59, E21"
DDL,Air Red,Billed Wt,224,89.28281682745389,"A02, A03, A05, A07, A11, A18, A24, A36, A38, A44, A46, A48, A50, B01, B02, B05, B06, B07, B08, B09, B11, B14, B16, B26, B27, B32, B35, B43, B53, B58, B59, B61, B68, C02, C08, C13, C14, C15, C30, C36, C37, C38, C47, C48, C53, C73, C74, E02, E03, E06, E21, H07, H08, H09, H10, H11, H48, H70, H71, H74, H75, H79, H80, H96, I02, I08, I40, I42, I43, I46, J01, J02, J03, J04, J05, J07, J08, J12, J13, J14, J15, J16, J18, J19, J21, J25, J26, J37, K01, K05, K06, K07, K08, K14, K15, K22, K23, K28, K39, K45, K68, K72, K74, K75, K81, K88, L02, L03, L04, L23, L27, M01, M02, M04, M05, M06, M07, M08, M35, M39, M45, M46, M47, M48, M54, M59, M61, M66, M68, M78, M85, M87, O02, O04, O05, O08, O09, O12, O13, O23, P04, P09, P11, P12, P15, P19, P22, P24, P27, P50, P65, Q01, Q02, Q03, Q04, Q06, Q09, Q11, Q12, Q14, Q16, Q17, Q34, Q35, Q41, R07, R08, R11, R32, S01, S02, S03, S04, S09, S17, S26, S27, T03, T04, T05, T10, T32, U01, U02, U03, U06, U07, U09, U10, U12, U13, U130, U139, U14, U143, U15, U16, U17, U18, U19, U20, U23, U24, U25, U26, U30, U45, U48, V01, V05, V07, V08, V09, V11, V16, V58, W02, W07, W21, W52, X02, X06, X10, X22"
